,id,year,week,team,pts_for,opponent,pts_against,wins,cum_season_wins
915,20050122,2005,1,Benny,98.76,Ost,71.34,1.0,1.0
929,20050232,2005,2,Benny,81.68,Frank,83.84,0.0,1.0
941,20050332,2005,3,Benny,75.42,Sarge,95.66,0.0,1.0
10,20050442,2005,4,Benny,97.56,Schingen,102.88,0.0,1.0
22,20050542,2005,5,Benny,63.2,Faber,93.04,0.0,1.0
36,20050652,2005,6,Benny,91.44,Gresh,104.58,0.0,1.0
47,20050751,2005,7,Benny,75.98,Ceej,56.78,1.0,2.0
74,20050851,2005,8,Benny,100.76,Rades,97.42,1.0,3.0
77,20050902,2005,9,Benny,107.1,Lude,86.8,1.0,4.0
91,20051012,2005,10,Benny,122.58,Winks,106.28,1.0,5.0
139,20051122,2005,11,Benny,103.5,Strand,110.36,0.0,5.0
151,20051222,2005,12,Benny,114.5,Ost,69.82,1.0,6.0
165,20051332,2005,13,Benny,71.78,Frank,77.18,0.0,6.0
292,20060141,2006,1,Benny,73.34,Strand,99.08,0.0,0.0
991,20060241,2006,2,Benny,83.78,Frank,109.1,0.0,0.0
1001,20060331,2006,3,Benny,79.28,Faber,117.46,0.0,0.0
303,20060431,2006,4,Benny,93.62,Gresh,97.4,0.0,0.0
310,20060502,2006,5,Benny,53.5,Lude,85.6,0.0,0.0
331,20060612,2006,6,Benny,85.46,Sarge,101.12,0.0,0.0
345,20060722,2006,7,Benny,117.82,Ost,83.12,1.0,1.0
360,20060832,2006,8,Benny,129.64,Winks,69.36,1.0,2.0
374,20060942,2006,9,Benny,98.82,Ceej,76.74,1.0,3.0
387,20061051,2006,10,Benny,75.88,Schingen,119.62,0.0,3.0
399,20061151,2006,11,Benny,64.18,Rades,78.16,0.0,3.0
410,20061241,2006,12,Benny,103.16,Strand,104.8,0.0,3.0
422,20061341,2006,13,Benny,95.18,Frank,76.24,1.0,4.0
520,20070132,2007,1,Benny,57.78,Winks,105.6,0.0,0.0
