"id","year","week","team","pts_for","opponent","pts_against"
20190101,2019,1,"Lude","80.56","Ost","105.2"
20190102,2019,1,"Ost","105.2","Lude","80.56"
20190111,2019,1,"Benny","104.56","Rades","75.54"
20190112,2019,1,"Rades","75.54","Benny","104.56"
20190121,2019,1,"Strand","80.6","Schingen","59.92"
20190122,2019,1,"Schingen","59.92","Strand","80.6"
20190131,2019,1,"Sarge","127.52","Gresh","75.36"
20190132,2019,1,"Gresh","75.36","Sarge","127.52"
20190141,2019,1,"Faber","114.62","Frank","87.62"
20190142,2019,1,"Frank","87.62","Faber","114.62"
20190151,2019,1,"Winks","64.72","Ceej","87.5"
20190152,2019,1,"Ceej","87.5","Winks","64.72"
20190201,2019,2,"Lude","74.32","Benny","77.98"
20190202,2019,2,"Benny","77.98","Lude","74.32"
20190211,2019,2,"Ost","88.76","Ceej","85.16"
20190212,2019,2,"Ceej","85.16","Ost","88.76"
20190221,2019,2,"Strand","74.02","Rades","65.9"
20190222,2019,2,"Rades","65.9","Strand","74.02"
20190231,2019,2,"Sarge","90.12","Schingen","74.42"
20190232,2019,2,"Schingen","74.42","Sarge","90.12"
20190241,2019,2,"Faber","61.06","Gresh","86.92"
20190242,2019,2,"Gresh","86.92","Faber","61.06"
20190251,2019,2,"Winks","91.86","Frank","118.04"
20190252,2019,2,"Frank","118.04","Winks","91.86"
20190301,2019,3,"Lude","111","Strand","76.32"
20190302,2019,3,"Strand","76.32","Lude","111"
20190311,2019,3,"Ost","77.94","Benny","89.08"
20190312,2019,3,"Benny","89.08","Ost","77.94"
20190321,2019,3,"Sarge","70.46","Rades","88.96"
20190322,2019,3,"Rades","88.96","Sarge","70.46"
20190331,2019,3,"Faber","143.84","Schingen","78.02"
20190332,2019,3,"Schingen","78.02","Faber","143.84"
20190341,2019,3,"Winks","78.4","Gresh","113.72"
20190342,2019,3,"Gresh","113.72","Winks","78.4"
20190351,2019,3,"Frank","91.86","Ceej","119.54"
20190352,2019,3,"Ceej","119.54","Frank","91.86"
20190401,2019,4,"Lude","84.1","Sarge","86.7"
20190402,2019,4,"Sarge","86.7","Lude","84.1"
20190411,2019,4,"Ost","78","Strand","66.38"
20190412,2019,4,"Strand","66.38","Ost","78"
20190421,2019,4,"Benny","57.5","Ceej","68.02"
20190422,2019,4,"Ceej","68.02","Benny","57.5"
20190431,2019,4,"Faber","81.7","Rades","62.18"
20190432,2019,4,"Rades","62.18","Faber","81.7"
20190441,2019,4,"Winks","104.08","Schingen","74.7"
20190442,2019,4,"Schingen","74.7","Winks","104.08"
